network,beta,strategy,peak_I_mean,t_peak_mean,final_R_mean
Erdos-Renyi,0.02,rand,0.35736000000000007,50.87,0.9282600000000001
Erdos-Renyi,0.04,rand,0.56924,26.0,0.98688
Erdos-Renyi,0.06,rand,0.6706200000000001,18.45,0.9951000000000001
Watts-Strogatz,0.02,rand,0.23579000000000006,86.05,0.9260700000000002
Watts-Strogatz,0.04,rand,0.4768900000000001,39.27,0.99643
Watts-Strogatz,0.06,rand,0.59667,26.59,0.9995
Barabasi-Albert,0.02,rand,0.37249000000000004,35.67,0.88402
Barabasi-Albert,0.04,rand,0.56526,20.74,0.9781400000000001
Barabasi-Albert,0.06,rand,0.6647000000000002,15.31,0.99358
Erdos-Renyi,0.04,rand,0.5722400000000001,25.58,0.9873000000000001
Erdos-Renyi,0.04,high_deg,0.57352,22.88,0.9867
Erdos-Renyi,0.04,eigen,0.5719399999999999,22.83,0.98729
Erdos-Renyi,0.04,cluster,0.5683,25.66,0.98651
Watts-Strogatz,0.04,rand,0.4791300000000001,39.19,0.99637
Watts-Strogatz,0.04,high_deg,0.47996,36.35,0.9963299999999999
Watts-Strogatz,0.04,eigen,0.4697400000000001,40.61,0.9964000000000002
Watts-Strogatz,0.04,cluster,0.46993,46.52,0.99635
Barabasi-Albert,0.04,rand,0.5643900000000001,20.64,0.9778
Barabasi-Albert,0.04,high_deg,0.57055,16.0,0.9784599999999998
Barabasi-Albert,0.04,eigen,0.5640999999999999,16.27,0.97744
Barabasi-Albert,0.04,cluster,0.5657300000000002,18.79,0.9781
